Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"44","'170","Colombia","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","18926.000000","E"
"44","'170","Colombia","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","8014.000000","E"
"44","'170","Colombia","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","15167.170000","E"
"49","'192","Cuba","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","8102.000000","E"
"49","'192","Cuba","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","4459.000000","E"
"49","'192","Cuba","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","3612.970000","E"
"58","'218","Ecuador","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","3283.000000","I"
"58","'218","Ecuador","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","13511.000000","E"
"58","'218","Ecuador","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","4435.120000","E"
"60","'222","El Salvador","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","3863.000000","E"
"60","'222","El Salvador","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","4045.000000","E"
"60","'222","El Salvador","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","1562.790000","I"
"89","'320","Guatemala","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","210.000000","E"
"89","'320","Guatemala","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","5706.000000","E"
"89","'320","Guatemala","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","119.550000","I"
"138","'484","Mexico","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","13959.000000","E"
"138","'484","Mexico","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","4484.000000","E"
"138","'484","Mexico","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","6258.710000","E"
"157","'558","Nicaragua","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","5949.000000","I"
"157","'558","Nicaragua","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","9407.000000","E"
"157","'558","Nicaragua","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","5596.140000","I"
"171","'608","Philippines","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","4035.000000","I"
"171","'608","Philippines","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","9888.000000","E"
"171","'608","Philippines","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","3990.110000","I"
"5000","'001","World","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","58327.000000","E"
"5000","'001","World","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","6985.000000","E"
"5000","'001","World","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","40742.570000","E"
"5200","'019","Americas","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","54292.000000","E"
"5200","'019","Americas","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","6769.000000","E"
"5200","'019","Americas","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","36752.450000","E"
"5204","'013","Central America","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","23981.000000","E"
"5204","'013","Central America","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","5645.000000","E"
"5204","'013","Central America","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","13537.190000","E"
"5206","'029","Caribbean","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","8102.000000","E"
"5206","'029","Caribbean","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","4459.000000","E"
"5206","'029","Caribbean","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","3612.970000","E"
"5207","'005","South America","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","22208.000000","E"
"5207","'005","South America","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","8826.000000","E"
"5207","'005","South America","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","19602.290000","E"
"5300","'142","Asia","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","4035.000000","E"
"5300","'142","Asia","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","9888.000000","E"
"5300","'142","Asia","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","3990.110000","E"
"5304","'035","South-eastern Asia","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","4035.000000","E"
"5304","'035","South-eastern Asia","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","9888.000000","E"
"5304","'035","South-eastern Asia","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","3990.110000","E"
"5803","'722","Small Island Developing States","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","8102.000000","E"
"5803","'722","Small Island Developing States","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","4459.000000","E"
"5803","'722","Small Island Developing States","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","3612.970000","E"
"5815","'901","Low Income Food Deficit Countries","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","5949.000000","E"
"5815","'901","Low Income Food Deficit Countries","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","9407.000000","E"
"5815","'901","Low Income Food Deficit Countries","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","5596.140000","E"
"5817","'902","Net Food Importing Developing Countries","800","'01929.06","Agave fibres, raw, n.e.c.","5312","Area harvested","2021","2021","ha","11966.000000","E"
"5817","'902","Net Food Importing Developing Countries","800","'01929.06","Agave fibres, raw, n.e.c.","5419","Yield","2021","2021","hg/ha","4325.000000","E"
"5817","'902","Net Food Importing Developing Countries","800","'01929.06","Agave fibres, raw, n.e.c.","5510","Production","2021","2021","tonnes","5175.760000","E"
"351","'159","China","221","'01371","Almonds, in shell","5312","Area harvested","2021","2021","ha","12476.000000","E"
"351","'159","China","221","'01371","Almonds, in shell","5419","Yield","2021","2021","hg/ha","36069.000000","E"
"351","'159","China","221","'01371","Almonds, in shell","5510","Production","2021","2021","tonnes","45000.000000","E"
"351","'159","China","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5312","Area harvested","2021","2021","ha","40829.000000","E"
"351","'159","China","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5419","Yield","2021","2021","hg/ha","12554.000000","E"
"351","'159","China","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5510","Production","2021","2021","tonnes","51258.300000","E"
"351","'159","China","515","'01341","Apples","5312","Area harvested","2021","2021","ha","2092512.000000","E"
"351","'159","China","515","'01341","Apples","5419","Yield","2021","2021","hg/ha","219759.000000","E"
"351","'159","China","515","'01341","Apples","5510","Production","2021","2021","tonnes","45984858.000000","A"
"351","'159","China","526","'01343","Apricots","5312","Area harvested","2021","2021","ha","20973.000000","E"
"351","'159","China","526","'01343","Apricots","5419","Yield","2021","2021","hg/ha","33744.000000","E"
"351","'159","China","526","'01343","Apricots","5510","Production","2021","2021","tonnes","70772.380000","E"
"351","'159","China","226","'01379.01","Areca nuts","5312","Area harvested","2021","2021","ha","39691.000000","A"
"351","'159","China","226","'01379.01","Areca nuts","5419","Yield","2021","2021","hg/ha","24070.000000","A"
"351","'159","China","226","'01379.01","Areca nuts","5510","Production","2021","2021","tonnes","95536.000000","A"
"351","'159","China","366","'01216","Artichokes","5312","Area harvested","2021","2021","ha","11946.000000","E"
"351","'159","China","366","'01216","Artichokes","5419","Yield","2021","2021","hg/ha","67518.000000","E"
"351","'159","China","366","'01216","Artichokes","5510","Production","2021","2021","tonnes","80654.310000","E"
"351","'159","China","367","'01211","Asparagus","5312","Area harvested","2021","2021","ha","1441009.000000","E"
"351","'159","China","367","'01211","Asparagus","5419","Yield","2021","2021","hg/ha","50967.000000","E"
"351","'159","China","367","'01211","Asparagus","5510","Production","2021","2021","tonnes","7344439.590000","E"
"351","'159","China","1107","'02132","Asses","5111","Stocks","2021","2021","Head","1966900.000000","A"
"351","'159","China","572","'01311","Avocados","5312","Area harvested","2021","2021","ha","13500.000000","A"
"351","'159","China","572","'01311","Avocados","5419","Yield","2021","2021","hg/ha","92430.000000","A"
"351","'159","China","572","'01311","Avocados","5510","Production","2021","2021","tonnes","124780.000000","A"
"351","'159","China","486","'01312","Bananas","5312","Area harvested","2021","2021","ha","360083.000000","E"
"351","'159","China","486","'01312","Bananas","5419","Yield","2021","2021","hg/ha","334960.000000","E"
"351","'159","China","486","'01312","Bananas","5510","Production","2021","2021","tonnes","12061344.000000","A"
"351","'159","China","44","'0115","Barley","5312","Area harvested","2021","2021","ha","510000.000000","E"
"351","'159","China","44","'0115","Barley","5419","Yield","2021","2021","hg/ha","39216.000000","E"
"351","'159","China","44","'0115","Barley","5510","Production","2021","2021","tonnes","2000000.000000","E"
"351","'159","China","176","'01701","Beans, dry","5312","Area harvested","2021","2021","ha","743703.000000","E"
"351","'159","China","176","'01701","Beans, dry","5419","Yield","2021","2021","hg/ha","17555.000000","E"
"351","'159","China","176","'01701","Beans, dry","5510","Production","2021","2021","tonnes","1305584.200000","E"
"351","'159","China","1181","'02196","Bees","5114","Stocks","2021","2021","No","9383682.000000","E"
"351","'159","China","1183","'02960.01","Beeswax","5510","Production","2021","2021","tonnes","0.000000","M"
"351","'159","China","552","'01355.01","Blueberries","5312","Area harvested","2021","2021","ha","0.000000","M"
"351","'159","China","552","'01355.01","Blueberries","5510","Production","2021","2021","tonnes","0.000000","M"
"351","'159","China","181","'01702","Broad beans and horse beans, dry","5312","Area harvested","2021","2021","ha","804320.000000","E"
"351","'159","China","181","'01702","Broad beans and horse beans, dry","5419","Yield","2021","2021","hg/ha","21019.000000","E"
"351","'159","China","181","'01702","Broad beans and horse beans, dry","5510","Production","2021","2021","tonnes","1690620.300000","E"
"351","'159","China","420","'01243","Broad beans and horse beans, green","5312","Area harvested","2021","2021","ha","13692.000000","E"
"351","'159","China","420","'01243","Broad beans and horse beans, green","5419","Yield","2021","2021","hg/ha","136713.000000","E"
"351","'159","China","420","'01243","Broad beans and horse beans, green","5510","Production","2021","2021","tonnes","187192.450000","E"
"351","'159","China","89","'01192","Buckwheat","5312","Area harvested","2021","2021","ha","622125.000000","E"
"351","'159","China","89","'01192","Buckwheat","5419","Yield","2021","2021","hg/ha","8075.000000","E"
"351","'159","China","89","'01192","Buckwheat","5510","Production","2021","2021","tonnes","502369.440000","E"
"351","'159","China","946","'02112","Buffalo","5111","Stocks","2021","2021","Head","27022807.000000","E"
"351","'159","China","949","'21513","Buffalo fat, unrendered","5510","Production","2021","2021","tonnes","46819.150000","E"
"351","'159","China","949","'21513","Buffalo fat, unrendered","5320","Producing Animals/Slaughtered","2021","2021","Head","4526052.240000","E"
"351","'159","China","358","'01212","Cabbages","5312","Area harvested","2021","2021","ha","1002516.000000","E"
"351","'159","China","358","'01212","Cabbages","5419","Yield","2021","2021","hg/ha","350046.000000","E"
"351","'159","China","358","'01212","Cabbages","5510","Production","2021","2021","tonnes","35092621.830000","E"
"351","'159","China","1126","'02121.01","Camels","5111","Stocks","2021","2021","Head","461700.000000","A"
